DateTime,KTF1_Current,KTF1_Power,KTF1_Temp,KTF1_Voltage,KTF1_VSDSpeed(%),KTF1_VSDSpeedHz,KTF1_Run_Status,KTF1_Fault_Status,KTF2_Current,KTF2_Power,KTF2_Temp,KTF2_Voltage,KTF2_VSDSpeed(%),KTF2_VSDSpeedHz,KTF2_Run_Status,KTF2_Fault_Status,KTF3_Current,KTF3_Power,KTF3_Temp,KTF3_Voltage,KTF3_VSDSpeed(%),KTF3_VSDSpeedHz,KTF3_Run_Status,KTF3_Fault_Status,Korumburra CWS TANK.Value(%),Lance Creek CWS Tank.Value (mm),FIT2025 to Korumburra.Value (l/s) from Lance Creek WTP,FIT3033 Flow at KBR.Value (l/s) at Korumburra
2022-08-01 05:00:00,0,0,17,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,82.29000092,4131.379883,0,0
2022-08-01 05:10:00,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,81.84999847,4097.810059,0,0
2022-08-01 05:20:00,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,81.26999664,4132.909668,0,0
2022-08-01 05:30:00,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,81.26999664,4203.47998,0,0
2022-08-01 05:40:00,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,81.26999664,4251.929688,0,0
2022-08-01 05:50:00,0,0,16,0,0,0,0,0,327.7299805,209.4299927,37,398.3000183,96.05958557,48.02979279,1,0,0,0,14,0,0,0,0,0,80.25,4323.640137,62.68999863,65.11000061
2022-08-01 06:00:00,0,0,15,0,0,0,0,0,324.7999878,205.3399963,47,398.3000183,96.03495789,48.01747894,1,0,0,0,14,0,0,0,0,0,80.25,4364.459961,60.14999771,61.5
2022-08-01 06:10:00,0,0,15,0,0,0,0,0,324.2200012,206.1599884,49,398.3000183,96.05823517,48.02911758,1,0,0,0,14,0,0,0,0,0,80.37999725,4394.219727,60.43000031,61.18999863
2022-08-01 06:20:00,0,0,15,0,0,0,0,0,324.289978,207.0699921,49,398.3999939,96.0998764,48.0499382,1,0,0,0,13,0,0,0,0,0,80.37999725,4324.790039,60.43000031,61.18999863
2022-08-01 06:30:00,0,0,15,0,0,0,0,0,326.5099792,206.3699951,50,398.3999939,96.11430359,48.05715179,1,0,0,0,13,0,0,0,0,0,80.37999725,4162.279785,60.43000031,61.18999863
2022-08-01 06:40:00,0,0,15,0,0,0,0,0,326.0099792,205.0999908,50,398.3999939,96.11569977,48.05784988,1,0,0,0,13,0,0,0,0,0,80.37999725,4164.189941,60.43000031,61.18999863
2022-08-01 06:50:00,0,0,15,0,0,0,0,0,324.1499939,204.4899902,50,398.3999939,96.11915588,48.05957794,1,0,0,0,14,0,0,0,0,0,80.37999725,4167.239746,60.43000031,61.18999863
2022-08-01 07:00:00,0,0,15,0,0,0,0,0,327.4400024,204.6499939,51,398.3999939,96.12381744,48.06190872,1,0,0,0,14,0,0,0,0,0,80.37999725,4168,60.43000031,61.18999863
2022-08-01 07:10:00,0,0,15,0,0,0,0,0,322.5799866,204.4199982,50,398.3999939,96.12359619,48.0617981,1,0,0,0,14,0,0,0,0,0,80.43999481,4168.759766,59.68000031,61.54999924
2022-08-01 07:20:00,0,0,15,0,0,0,0,0,323.9400024,206.0699921,50,398.3999939,96.1257019,48.06285095,1,0,0,0,14,0,0,0,0,0,80.43999481,4167.620117,59.68000031,61.54999924
2022-08-01 07:30:00,0,0,15,0,0,0,0,0,321.9299927,206.5800018,51,398.3999939,96.12624359,48.0631218,1,0,0,0,14,0,0,0,0,0,80.43999481,4173.339844,59.68000031,61.54999924
2022-08-01 07:40:00,0,0,15,0,0,0,0,0,324.6499939,204.8499908,51,398.3999939,96.1256485,48.06282425,1,0,0,0,14,0,0,0,0,0,80.43999481,4173.339844,59.68000031,61.54999924
2022-08-01 07:50:00,0,0,15,0,0,0,0,0,323.0099792,205.3600006,52,398.3999939,96.12966919,48.06483459,1,0,0,0,14,0,0,0,0,0,80.43999481,4172.959961,59.68000031,61.54999924
2022-08-01 08:00:00,0,0,15,0,0,0,0,0,323.7200012,205.6599884,52,398.3999939,96.12926483,48.06463242,1,0,0,0,14,0,0,0,0,0,80.43999481,4173.719727,59.68000031,61.54999924
2022-08-01 08:10:00,0,0,15,0,0,0,0,0,321.6499939,205.0399933,52,398.3999939,96.12719727,48.06359863,1,0,0,0,14,0,0,0,0,0,79.58999634,4178.679688,60.54999924,61.27999878
2022-08-01 08:20:00,0,0,14,0,0,0,0,0,324.4400024,205.7099915,52,398.3999939,96.1316452,48.0658226,1,0,0,0,14,0,0,0,0,0,79.23999786,4170.669922,60.54999924,61.27999878
2022-08-01 08:30:00,0,0,14,0,0,0,0,0,324.6499939,205.1999969,53,398.3999939,96.13461304,48.06730652,1,0,0,0,14,0,0,0,0,0,79.23999786,4152.739746,60.54999924,61.27999878
2022-08-01 08:40:00,0,0,14,0,0,0,0,0,322.5099792,204.4199982,52,398.3999939,96.1344223,48.06721115,1,0,0,0,14,0,0,0,0,0,79.06999969,4166.089844,59.93999863,61.02000046
2022-08-01 08:50:00,0,0,14,0,0,0,0,0,322.0099792,204.0299988,53,398.3999939,96.13594818,48.06797409,1,0,0,0,14,0,0,0,0,0,79.06999969,4164.569824,59.93999863,61.02000046
2022-08-01 09:00:00,0,0,14,0,0,0,0,0,321.4299927,205.7599945,53,398.3999939,96.13988495,48.06994247,1,0,0,0,14,0,0,0,0,0,79.06999969,4161.899902,59.93999863,61.02000046
2022-08-01 09:10:00,0,0,14,0,0,0,0,0,322.6499939,206.1100006,53,398.3999939,96.14031219,48.0701561,1,0,0,0,14,0,0,0,0,0,78.54999542,4167.239746,60.52999878,60.96999741
2022-08-01 09:20:00,0,0,14,0,0,0,0,0,323.0799866,206.0099945,54,398.3999939,96.13935852,48.06967926,1,0,0,0,14,0,0,0,0,0,78.54999542,4169.149902,60.52999878,60.96999741
2022-08-01 09:30:00,0,0,14,0,0,0,0,0,323.8699951,203.6299896,54,398.3999939,96.14225769,48.07112885,1,0,0,0,14,0,0,0,0,0,78.22999573,4166.47998,60.52999878,60.96999741
2022-08-01 09:40:00,0,0,14,0,0,0,0,0,322.0799866,206.2999878,54,398.3999939,96.14652252,48.07326126,1,0,0,0,14,0,0,0,0,0,78.22999573,4167.620117,60.52999878,60.96999741
